n02128757,n02120997
n02950826,n03574816
n01694178,n01674216
n01582220,n01524359
n03075370,n04081844
n01531178,n01524359
n03947888,n03125870
n03884397,n03800933
n02883205,n03419014
n03788195,n02913152
n04141975,n03574816
n02992529,n03278248
n03954731,n04451818
n03661043,n02913152
n04606251,n03125870
n03344393,n03125870
n01847000,n01844917
n03032252,n02913152
n02128385,n02120997
n04443257,n03297735
n03394916,n03800933
n01592084,n01524359
n02398521,n02370806
n01748264,n01726692
n04355338,n03574816
n02481823,n02469914
n03146219,n04014297
n02963159,n03419014
n02123597,n02120997
n01675722,n01674216
n03637318,n04014297
n04136333,n03419014
n02002556,n01844917
n02408429,n02370806
n02415577,n02370806
n02787622,n03800933
n04008634,n03574816
n02091831,n02087551
n02488702,n02469914
n04515003,n03800933
n04370456,n03419014
n02093256,n02092468
n01693334,n01674216
n02088466,n02087551
n03495258,n03800933
n02865351,n03419014
n01688243,n01674216
n02093428,n02092468
n02410509,n02370806
n02487347,n02469914
n03249569,n03800933
n03866082,n03419014
n04479046,n03419014
n02093754,n02092468
n01687978,n01674216
n04350905,n03419014
n02488291,n02469914
n02804610,n03800933
n02094433,n02092468
n03481172,n04451818
n01689811,n01674216
n04423845,n04014297
n03476684,n04081844
n04536866,n03800933
n01751748,n01726692
n02028035,n01844917
n03770439,n03419014
n04417672,n04014297
n02988304,n03278248
n03673027,n03125870
n02492660,n02469914
n03840681,n03800933
n02011460,n01844917
n03272010,n03800933
n02089078,n02087551
n03109150,n04451818
n03424325,n04014297
n02002724,n01844917
n03857828,n03278248
n02007558,n01844917
n02096051,n02092468
n01601694,n01524359
n04273569,n03125870
n02018207,n01844917
n01756291,n01726692
n04208210,n04451818
n03447447,n03125870
n02091467,n02087551
n02089867,n02087551
n02089973,n02087551
n03777754,n03278248
n04392985,n03278248
n02125311,n02120997
n02676566,n03800933
n02092002,n02087551
n02051845,n01844917
n04153751,n04081844
n02097209,n02092468
n04376876,n03574816
n02097298,n02092468
n04371430,n03419014
n03461385,n03297735
n04540053,n03414162
n04552348,n03125870
n02097047,n02092468
n02494079,n02469914
n03457902,n02913152
n02403003,n02370806
n03781244,n02913152
n02895154,n04014297
n02422699,n02370806
n04254680,n03414162
n02672831,n03800933
n02483362,n02469914
n02690373,n03125870
n02092339,n02087551
n02879718,n03574816
n02776631,n03297735
n04141076,n03800933
n03710721,n03419014
n03658185,n04451818
n01728920,n01726692
n02009229,n01844917
n03929855,n04014297
n03721384,n03800933
n03773504,n03574816
n03649909,n04451818
n04523525,n04014297
n02088632,n02087551
n04347754,n03125870
n02058221,n01844917
n02091635,n02087551
n02094258,n02092468
n01695060,n01674216
n02486410,n02469914
n03017168,n03800933
n02910353,n04081844
n03594734,n03419014
n02095570,n02092468
n03706229,n03574816
n02791270,n03297735
n02127052,n02120997
n02009912,n01844917
n03467068,n03574816
n02094114,n02092468
n03782006,n03278248
n01558993,n01524359
n03841143,n03574816
n02825657,n04014297
n03110669,n03800933
n03877845,n02913152
n02128925,n02120997
n02091032,n02087551
n03595614,n03419014
n01735189,n01726692
n04081281,n02913152
n04328186,n03574816
n03494278,n03800933
n02841315,n03574816
n03854065,n03800933
n03498962,n04451818
n04141327,n04014297
n02951585,n04451818
n02397096,n02370806
n02123045,n02120997
n02095889,n02092468
n01532829,n01524359
n02981792,n03125870
n02097130,n02092468
n04317175,n03574816
n04311174,n03800933
n03372029,n03800933
n04229816,n04014297
n02802426,n03414162
n03980874,n03419014
n02486261,n02469914
n02006656,n01844917
n02025239,n01844917
n03967562,n04451818
n03089624,n03297735
n02129165,n02120997
n01753488,n01726692
n02124075,n02120997
n02500267,n02469914
n03544143,n03574816
n02687172,n03125870
n02391049,n02370806
n02412080,n02370806
n04118776,n03574816
n03838899,n03800933
n01580077,n01524359
n04589890,n04014297
n03188531,n03419014
n03874599,n04081844
n02843684,n04014297
n02489166,n02469914
n01855672,n01844917
n04483307,n03125870
n02096177,n02092468
n02088364,n02087551
